"name","file","start_line","end_line","scope"
"__call__","demo/yolov10_webcam_stream/inference.py",14,14,"Class YOLOv10"
"__call__","test/test_routes.py",1282,1282,"Class Callable"
"__call__","gradio/blocks.py",1512,1512,"Class Blocks"
"__call__","gradio/ranged_response.py",95,95,"Class RangedFileResponse"
"__call__","test/test_utils.py",265,265,"Class F"
"__call__","test/test_utils.py",320,320,"Class F"
"__call__","gradio/flagging.py",411,411,"Class FlagMethod"
"__call__","gradio/route_utils.py",891,891,"Class CustomCORSMiddleware"
"__call__","test/test_mcp.py",36,36,"Class MyCallable"
"__call__","gradio/helpers.py",754,761,"Class Progress"
"__call__","gradio/brotli_middleware.py",68,68,"Class BrotliMiddleware"
"__call__","gradio/brotli_middleware.py",150,150,"Class BrotliResponder"
"__call__","gradio/i18n.py",121,121,"Class I18n"
"__call__","client/python/test/test_utils.py",141,141,"Class AsyncMock"
"__call__","gradio/events.py",156,156,"Class Dependency"
"__call__","client/python/test/test_client.py",705,705,"Class MockEndToEndFunction"
"__call__","client/python/test/test_client.py",782,782,"Class MockEndToEndFunction"
"__repr__","gradio/interface.py",947,947,"Class Interface"
"__repr__","gradio/block_function.py",135,135,"Class BlockFunction"
"__repr__","gradio/blocks.py",1377,1377,"Class Blocks"
"__repr__","gradio/route_utils.py",113,113,"Class Obj"
"__repr__","gradio/utils.py",1214,1214,"Class TupleNoPrint"
"__repr__","gradio/themes/utils/fonts.py",63,63,"Class Font"
"__repr__","gradio/i18n.py",44,44,"Class I18nData"
"__repr__","client/python/gradio_client/client.py",841,841,"Class Client"
"__repr__","client/python/gradio_client/client.py",1064,1064,"Class Endpoint"
"__bool__","gradio/ranged_response.py",29,29,"Class ClosedRange"
"__bool__","gradio/utils.py",140,140,"Class DynamicBoolean"
"__eq__","gradio/themes/utils/fonts.py",60,60,"Class Font"
"__hash__","demo/state_change/run.py",80,80,"Class CustomState"
"__lt__","client/python/gradio_client/utils.py",172,172,"Class Status"
"__add__","gradio/i18n.py",50,50,"Class I18nData"
"__contains__","gradio/state_holder.py",35,35,"Class StateHolder"
"__contains__","gradio/state_holder.py",123,123,"Class SessionState"
"__contains__","gradio/route_utils.py",88,88,"Class Obj"
"__getstate__","gradio/route_utils.py",185,185,"Class Request"
"__init__","gradio/http_server.py",47,52,"Class Server"
"__init__","gradio/components/login_button.py",41,62,"Class LoginButton"
"__init__","gradio/interface.py",84,129,"Class Interface"
"__init__","gradio/interface.py",968,974,"Class TabbedInterface"
"__init__","gradio/components/dataframe.py",63,113,"Class Dataframe"
"__init__","gradio/components/image_editor.py",216,260,"Class ImageEditor"
"__init__","gradio/state_holder.py",17,17,"Class StateHolder"
"__init__","gradio/state_holder.py",65,65,"Class SessionState"
"__init__","demo/super_html/run.py",186,186,"Class ListComponent"
"__init__","demo/super_html/run.py",274,279,"Class TodoList"
"__init__","gradio/components/plot.py",47,66,"Class Plot"
"__init__","gradio/components/datetime.py",32,53,"Class DateTime"
"__init__","demo/yolov10_webcam_stream/inference.py",10,10,"Class YOLOv10"
"__init__","gradio/components/label.py",47,68,"Class Label"
"__init__","demo/theme_new_step_2/run.py",9,32,"Class Seafoam"
"__init__","gradio/layouts/column.py",31,44,"Class Column"
"__init__","gradio/mcp.py",68,68,"Class GradioMCPServer"
"__init__","gradio/layouts/accordion.py",28,39,"Class Accordion"
"__init__","gradio/components/image.py",55,94,"Class Image"
"__init__","js/_website/generate_jsons/chunking.py",14,14,"Class TextChunker"
"__init__","client/python/gradio_client/exceptions.py",22,29,"Class AppError"
"__init__","gradio/components/dataset.py",29,52,"Class Dataset"
"__init__","gradio/components/file_explorer.py",40,66,"Class FileExplorer"
"__init__","gradio/components/textbox.py",70,102,"Class Textbox"
"__init__","gradio/themes/neon.py",10,31,"Class Neon"
"__init__","demo/magic_8_ball/streamer.py",11,18,"Class ParlerTTSStreamer"
"__init__","gradio/components/html.py",53,81,"Class HTML"
"__init__","demo/state_change/run.py",77,77,"Class CustomState"
"__init__","gradio/components/api_component.py",17,22,"Class Api"
"__init__","gradio/block_function.py",23,65,"Class BlockFunction"
"__init__","gradio/blocks.py",109,119,"Class Block"
"__init__","gradio/blocks.py",461,469,"Class BlockContext"
"__init__","gradio/blocks.py",612,612,"Class BlocksConfig"
"__init__","gradio/blocks.py",1040,1049,"Class Blocks"
"__init__","gradio/components/multimodal_textbox.py",62,97,"Class MultimodalTextbox"
"__init__","gradio/components/markdown.py",35,60,"Class Markdown"
"__init__","gradio/oauth.py",269,269,"Class OAuthProfile"
"__init__","gradio/ranged_response.py",50,59,"Class RangedFileResponse"
"__init__","gradio/themes/utils/colors.py",7,21,"Class Color"
"__init__","gradio/components/paramviewer.py",37,50,"Class ParamViewer"
"__init__","gradio/components/radio.py",31,55,"Class Radio"
"__init__","gradio/themes/utils/sizes.py",7,9,"Class Size"
"__init__","test/test_image_utils.py",15,15,"Class MockResponse"
"__init__","gradio/components/audio.py",82,114,"Class Audio"
"__init__","gradio/components/highlighted_text.py",42,69,"Class HighlightedText"
"__init__","test/test_utils.py",734,734,"Class CustomClass"
"__init__","test/test_utils.py",997,997,"Class _FakeIterator"
"__init__","gradio/components/download_button.py",31,50,"Class DownloadButton"
"__init__","gradio/flagging.py",77,77,"Class SimpleCSVLogger"
"__init__","gradio/flagging.py",132,132,"Class ClassicCSVLogger"
"__init__","gradio/flagging.py",215,220,"Class CSVLogger"
"__init__","gradio/flagging.py",354,354,"Class ChatCSVLogger"
"__init__","gradio/flagging.py",398,404,"Class FlagMethod"
"__init__","gradio/profiling.py",82,82,"Class TraceCollector"
"__init__","gradio/themes/origin.py",10,31,"Class Origin"
"__init__","gradio/components/timer.py",28,34,"Class Timer"
"__init__","gradio/themes/citrus.py",10,31,"Class Citrus"
"__init__","gradio/renderable.py",20,30,"Class Renderable"
"__init__","gradio/tunneling.py",64,72,"Class Tunnel"
"__init__","gradio/ipython_ext.py",21,21,"Class CellIdTracker"
"__init__","gradio/ipython_ext.py",33,33,"Class JupyterReloader"
"__init__","gradio/components/color_picker.py",27,46,"Class ColorPicker"
"__init__","gradio/components/code.py",65,120,"Class Code"
"__init__","gradio/server.py",59,93,"Class Server"
"__init__","gradio/components/chatbot.py",229,270,"Class Chatbot"
"__init__","gradio/components/gallery.py",78,116,"Class Gallery"
"__init__","gradio/components/video.py",62,95,"Class Video"
"__init__","gradio/layouts/tabs.py",21,31,"Class Tabs"
"__init__","gradio/layouts/tabs.py",77,91,"Class Tab"
"__init__","gradio/layouts/sidebar.py",27,40,"Class Sidebar"
"__init__","gradio/chat_interface.py",72,109,"Class ChatInterface"
"__init__","gradio/layouts/row.py",27,43,"Class Row"
"__init__","gradio/themes/monochrome.py",10,31,"Class Monochrome"
"__init__","gradio/route_utils.py",68,68,"Class Obj"
"__init__","gradio/route_utils.py",146,152,"Class Request"
"__init__","gradio/route_utils.py",498,505,"Class GradioUploadFile"
"__init__","gradio/route_utils.py",532,532,"Class FileUploadProgress"
"__init__","gradio/route_utils.py",600,611,"Class GradioMultiPartParser"
"__init__","gradio/route_utils.py",870,874,"Class CustomCORSMiddleware"
"__init__","gradio/route_utils.py",1032,1032,"Class MediaStream"
"__init__","gradio/route_utils.py",1093,1093,"Class NodeProxyCache"
"__init__","gradio/components/deep_link_button.py",32,53,"Class DeepLinkButton"
"__init__","gradio/data_classes.py",350,350,"Class _StaticFiles"
"__init__","gradio/templates.py",27,64,"Class TextArea"
"__init__","gradio/templates.py",105,146,"Class Sketchpad"
"__init__","gradio/templates.py",191,232,"Class Paint"
"__init__","gradio/templates.py",275,320,"Class ImageMask"
"__init__","gradio/templates.py",365,405,"Class PlayableVideo"
"__init__","gradio/templates.py",446,485,"Class Microphone"
"__init__","gradio/templates.py",525,554,"Class Files"
"__init__","gradio/templates.py",587,631,"Class Numpy"
"__init__","gradio/templates.py",676,720,"Class Matrix"
"__init__","gradio/templates.py",765,809,"Class List"
"__init__","gradio/_simple_templates/simpledropdown.py",22,41,"Class SimpleDropdown"
"__init__","gradio/components/navbar.py",45,55,"Class Navbar"
"__init__","gradio/components/json_component.py",39,62,"Class JSON"
"__init__","gradio/components/number.py",32,57,"Class Number"
"__init__","gradio/components/clear_button.py",32,55,"Class ClearButton"
"__init__","gradio/helpers.py",102,126,"Class Examples"
"__init__","gradio/helpers.py",671,680,"Class TrackedIterable"
"__init__","gradio/helpers.py",709,712,"Class Progress"
"__init__","gradio/themes/default.py",10,31,"Class Default"
"__init__","gradio/components/upload_button.py",37,59,"Class UploadButton"
"__init__","gradio/themes/ocean.py",10,31,"Class Ocean"
"__init__","gradio/layouts/draggable.py",23,33,"Class Draggable"
"__init__","gradio/components/file.py",44,68,"Class File"
"__init__","gradio/themes/soft.py",10,31,"Class Soft"
"__init__","gradio/cli/commands/display.py",11,11,"Class LivePanelDisplay"
"__init__","gradio/exceptions.py",74,81,"Class Error"
"__init__","gradio/exceptions.py",117,117,"Class TooManyRequestsError"
"__init__","gradio/utils.py",137,137,"Class DynamicBoolean"
