[2026-04-01 15:27:56] This is codeql database index-files --include-extension=.yaml --include-extension=.yml --size-limit=5m --language yaml -- /home/caterpie/ProjectFzz/VulnHunterX-main/output/python/gradio/database
[2026-04-01 15:27:56] Log file was started late.
[2026-04-01 15:27:56] Using index-files script /home/caterpie/DuAn/CodeQL/codeql/yaml/tools/index-files.sh.
[2026-04-01 15:27:56] [PROGRESS] database index-files> Scanning for files in /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio...
[2026-04-01 15:27:56] Calling plumbing command: codeql resolve files --include-extension=.yaml --include-extension=.yml --size-limit=5m /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio --format=json
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/test...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/test/golden...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/test/golden/diff_texts...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/test/golden/sentence_builder...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/test/golden/longest_word...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/test/golden/image_mod...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/test/tmp...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/test/components...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/test/test_docker...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/test/test_docker/test_reverse_proxy_fastapi_mount...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/test/test_docker/test_reverse_proxy_fastapi_mount_root_path...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/test/test_docker/test_reverse_proxy_root_path...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/test/test_docker/test_reverse_proxy...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/test/test_files...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/test/test_files/images...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/test/test_files/images_log...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/test/test_files/images_log/im...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/demo...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/demo/html_server_functions...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/demo/slider_component...
[2026-04-01 15:27:56] [PROGRESS] resolve files> Scanning /home/caterpie/ProjectFzz/VulnHunterX-main/repos/python/gradio/demo/dataset_component...
