"name","file","start_line","end_line","scope"
"__call__","tests/unit_tests/mcp_service/test_auth_rbac.py",57,57,"Class _ToolFunc"
"__call__","superset/tasks/decorators.py",256,256,"Class TaskWrapper"
"__call__","superset/extensions/contributions.py",37,37,"Class ContributionProcessor"
"__call__","superset-core/src/superset_core/tasks/decorators.py",112,112,"Class TaskWrapper"
"__call__","superset/sql/parse.py",199,199,"Class RLSAsPredicateTransformer"
"__call__","superset/sql/parse.py",255,255,"Class RLSAsSubqueryTransformer"
"__call__","tests/integration_tests/conftest.py",164,164,"Class _example_db_provider"
"__call__","superset/utils/profiler.py",46,46,"Class SupersetProfiler"
"__call__","superset/utils/schema.py",30,30,"Class OneOfCaseInsensitive"
"__call__","superset/jinja_context.py",593,598,"Class WhereInMacro"
"__call__","superset/app.py",216,218,"Class AppRootMiddleware"
"__call__","superset/utils/cache_manager.py",58,58,"Class ConfigurableHashMethod"
"__call__","superset/initialization/__init__.py",140,140,"Class AppContextTask"
"__call__","superset/initialization/__init__.py",872,874,"Class ChunkedEncodingFix"
"__call__","superset/utils/log.py",116,123,"Class AbstractEventLogger"
"__repr__","superset/connectors/sqla/models.py",917,917,"Class TableColumn"
"__repr__","superset/connectors/sqla/models.py",1129,1129,"Class SqlMetric"
"__repr__","superset/connectors/sqla/models.py",1293,1293,"Class SqlaTable"
"__repr__","RELEASING/changelog.py",57,57,"Class GitLog"
"__repr__","RELEASING/changelog.py",196,196,"Class GitChangeLog"
"__repr__","RELEASING/changelog.py",269,269,"Class GitLogs"
"__repr__","RELEASING/generate_email.py",65,65,"Class BaseParameters"
"__repr__","superset/migrations/versions/2022-05-18_16-07_e786798587de_delete_none_permissions.py",50,50,"Class Permission"
"__repr__","superset/migrations/versions/2022-05-18_16-07_e786798587de_delete_none_permissions.py",59,59,"Class ViewMenu"
"__repr__","superset/migrations/versions/2022-05-18_16-07_e786798587de_delete_none_permissions.py",82,82,"Class Role"
"__repr__","superset/migrations/versions/2022-05-18_16-07_e786798587de_delete_none_permissions.py",95,95,"Class PermissionView"
"__repr__","tests/unit_tests/utils/test_date_parsing.py",204,204,"Class BadTimestampValue"
"__repr__","superset/models/annotations.py",37,37,"Class AnnotationLayer"
"__repr__","superset/models/annotations.py",67,67,"Class Annotation"
"__repr__","superset/models/dynamic_plugins.py",31,31,"Class DynamicPlugin"
"__repr__","superset/common/query_object.py",407,407,"Class QueryObject"
"__repr__","superset/dashboards/api.py",441,441,"Class DashboardRestApi"
"__repr__","superset/reports/models.py",183,183,"Class ReportSchedule"
"__repr__","superset/migrations/shared/security_converge.py",53,53,"Class Permission"
"__repr__","superset/migrations/shared/security_converge.py",62,62,"Class ViewMenu"
"__repr__","superset/migrations/shared/security_converge.py",91,91,"Class Role"
"__repr__","superset/migrations/shared/security_converge.py",104,104,"Class PermissionView"
"__repr__","superset/models/task_subscribers.py",61,61,"Class TaskSubscriber"
"__repr__","superset/models/slice.py",141,141,"Class Slice"
"__repr__","superset/migrations/versions/2024-01-18_15-20_214f580d09c9_migrate_filter_boxes_to_native_filters.py",57,57,"Class Dashboard"
"__repr__","superset/migrations/versions/2024-01-18_15-20_214f580d09c9_migrate_filter_boxes_to_native_filters.py",70,70,"Class Slice"
"__repr__","superset/tags/api.py",144,144,"Class TagRestApi"
"__repr__","superset/commands/exceptions.py",28,28,"Class CommandException"
"__repr__","superset/models/dashboard.py",195,195,"Class Dashboard"
"__repr__","superset/models/core.py",212,212,"Class Database"
"__repr__","superset/models/sql_lab.py",472,472,"Class SavedQuery"
"__repr__","superset/migrations/versions/2020-09-24_12-04_3fbbc6e8d654_fix_data_access_permissions_for_virtual_.py",119,119,"Class Database"
"__repr__","superset/models/tasks.py",114,114,"Class Task"
"__bool__","tests/unit_tests/utils/test_date_parsing.py",207,207,"Class BadTimestampValue"
"__eq__","superset/connectors/sqla/models.py",710,710,"Class BaseDatasource"
"__eq__","RELEASING/changelog.py",51,51,"Class GitLog"
"__eq__","superset/sql/parse.py",307,307,"Class Table"
"__eq__","superset/migrations/shared/security_converge.py",65,65,"Class ViewMenu"
"__eq__","superset/utils/core.py",1915,1915,"Class DateColumn"
"__eq__","superset/migrations/versions/2020-09-24_12-04_3fbbc6e8d654_fix_data_access_permissions_for_virtual_.py",62,62,"Class ViewMenu"
"__hash__","superset/connectors/sqla/models.py",707,707,"Class BaseDatasource"
"__hash__","superset/utils/core.py",1912,1912,"Class DateColumn"
"__name__","tests/integration_tests/fixtures/pyodbcRow.py",21,21,"Class Row"
"__init__","tests/integration_tests/event_logger_tests.py",113,113,"Class DummyEventLogger"
"__init__","tests/integration_tests/event_logger_tests.py",152,152,"Class DummyEventLogger"
"__init__","tests/integration_tests/event_logger_tests.py",202,202,"Class DummyEventLogger"
"__init__","superset/connectors/sqla/models.py",893,893,"Class TableColumn"
"__init__","superset/sqllab/sql_json_executer.py",65,65,"Class SqlJsonExecutorBase"
"__init__","superset/sqllab/sql_json_executer.py",74,80,"Class SynchronousSqlJsonExecutor"
"__init__","superset/commands/chart/delete.py",41,41,"Class DeleteChartCommand"
"__init__","superset/commands/chart/fave.py",33,33,"Class AddFavoriteChartCommand"
"__init__","superset/extensions/metadb.py",97,97,"Class SupersetAPSWDialect"
"__init__","superset/extensions/metadb.py",251,256,"Class SupersetShillelaghAdapter"
"__init__","superset/commands/css/delete.py",34,34,"Class DeleteCssTemplateCommand"
"__init__","superset/mcp_service/chart/validation/pipeline.py",110,116,"Class ValidationResult"
"__init__","superset/commands/chart/importers/dispatcher.py",43,43,"Class ImportChartsCommand"
"__init__","tests/integration_tests/utils/public_interfaces_test.py",56,56,"Class SomeClass"
"__init__","tests/integration_tests/utils/public_interfaces_test.py",68,68,"Class SomeClass"
"__init__","tests/integration_tests/utils/public_interfaces_test.py",81,81,"Class SomeClass"
"__init__","tests/integration_tests/utils/public_interfaces_test.py",93,93,"Class SomeClass"
"__init__","tests/unit_tests/common/test_query_context_processor.py",1344,1344,"Class MockCache"
"__init__","superset/datasets/datetime_format_detector.py",44,44,"Class DatetimeFormatDetector"
"__init__","tests/unit_tests/mcp_service/test_auth_rbac.py",54,54,"Class _ToolFunc"
"__init__","superset/commands/security/delete.py",34,34,"Class DeleteRLSRuleCommand"
"__init__","superset/commands/database/exceptions.py",40,40,"Class DatabaseExistsValidationError"
"__init__","superset/commands/database/exceptions.py",48,48,"Class DatabaseRequiredFieldValidationError"
"__init__","superset/commands/database/exceptions.py",60,60,"Class DatabaseExtraJSONValidationError"
"__init__","superset/commands/database/exceptions.py",77,77,"Class DatabaseExtraValidationError"
"__init__","superset/commands/database/exceptions.py",229,229,"Class DatasetValidationError"
"__init__","RELEASING/changelog.py",68,74,"Class GitChangeLog"
"__init__","RELEASING/changelog.py",251,251,"Class GitLogs"
"__init__","superset/migrations/shared/migrate_viz/base.py",57,57,"Class MigrateViz"
"__init__","superset/commands/security/update.py",35,35,"Class UpdateRLSRuleCommand"
"__init__","tests/unit_tests/mcp_service/test_jwt_verifier.py",409,409,"Class _FakeHeaders"
"__init__","superset/commands/temporary_cache/update.py",31,34,"Class UpdateTemporaryCacheCommand"
"__init__","superset/exceptions.py",33,38,"Class SupersetException"
"__init__","superset/exceptions.py",67,67,"Class SupersetErrorException"
"__init__","superset/exceptions.py",80,80,"Class SupersetGenericErrorException"
"__init__","superset/exceptions.py",95,101,"Class SupersetErrorFromParamsException"
"__init__","superset/exceptions.py",112,114,"Class SupersetErrorsException"
"__init__","superset/exceptions.py",125,125,"Class SupersetSyntaxErrorException"
"__init__","superset/exceptions.py",136,141,"Class SupersetGenericDBErrorException"
"__init__","superset/exceptions.py",153,159,"Class SupersetTemplateParamsErrorException"
"__init__","superset/exceptions.py",171,173,"Class SupersetSecurityException"
"__init__","superset/exceptions.py",247,247,"Class InvalidPayloadFormatError"
"__init__","superset/exceptions.py",259,259,"Class InvalidPayloadSchemaError"
"__init__","superset/exceptions.py",293,293,"Class SupersetMarshmallowValidationError"
"__init__","superset/exceptions.py",310,318,"Class SupersetParseError"
"__init__","superset/exceptions.py",360,360,"Class OAuth2RedirectError"
"__init__","superset/exceptions.py",376,376,"Class OAuth2Error"
"__init__","superset/exceptions.py",392,392,"Class SupersetDisallowedSQLFunctionException"
"__init__","superset/exceptions.py",407,407,"Class SupersetDisallowedSQLTableException"
"__init__","superset/exceptions.py",432,432,"Class DatabaseNotFoundException"
"__init__","superset/exceptions.py",445,445,"Class TableNotFoundException"
"__init__","superset/exceptions.py",456,456,"Class SupersetDMLNotAllowedException"
"__init__","superset/exceptions.py",469,469,"Class SupersetInvalidCTASException"
"__init__","superset/exceptions.py",483,483,"Class SupersetInvalidCVASException"
"__init__","superset/exceptions.py",497,497,"Class SupersetResultsBackendNotConfigureException"
"__init__","RELEASING/generate_email.py",56,60,"Class BaseParameters"
"__init__","superset/tasks/decorators.py",172,179,"Class TaskWrapper"
"__init__","superset/commands/sql_lab/streaming_export_command.py",44,48,"Class StreamingSqlResultExportCommand"
"__init__","superset/result_set.py",103,108,"Class SupersetResultSet"
"__init__","superset/commands/tasks/cancel.py",65,65,"Class CancelTaskCommand"
"__init__","superset/extensions/contributions.py",45,45,"Class ContributionProcessorRegistry"
"__init__","tests/integration_tests/db_engine_specs/bigquery_tests.py",109,109,"Class Row"
"__init__","superset/commands/dashboard/fave.py",32,32,"Class AddFavoriteDashboardCommand"
"__init__","superset/commands/dashboard/filter_state/get.py",29,29,"Class GetFilterStateCommand"
"__init__","superset/commands/query/importers/dispatcher.py",43,43,"Class ImportSavedQueriesCommand"
"__init__","superset/extensions/context.py",41,41,"Class ExtensionContext"
"__init__","superset/extensions/context.py",64,64,"Class ExtensionContextWrapper"
"__init__","superset/migrations/shared/migrate_viz/query_functions.py",67,67,"Class DatasourceKey"
"__init__","superset/commands/logs/prune.py",48,48,"Class LogPruneCommand"
"__init__","tests/example_data/data_loading/data_definitions/birth_names.py",58,58,"Class BirthNamesMetaDataFactory"
"__init__","superset/stats_logger.py",28,28,"Class BaseStatsLogger"
"__init__","superset/stats_logger.py",78,84,"Class StatsdStatsLogger"
"__init__","superset/stats_logger.py",114,120,"Class StatsdStatsLogger"
"__init__","superset/tasks/cache.py",96,96,"Class Strategy"
"__init__","superset/tasks/cache.py",145,145,"Class TopNDashboardsStrategy"
"__init__","superset/tasks/cache.py",189,189,"Class DashboardTagsStrategy"
"__init__","superset/commands/importers/v1/assets.py",73,73,"Class ImportAssetsCommand"
"__init__","tests/unit_tests/utils/test_date_parsing.py",201,201,"Class BadTimestampValue"
"__init__","superset/commands/distributed_lock/base.py",61,61,"Class BaseDistributedLockCommand"
"__init__","superset/sql_validators/base.py",28,34,"Class SQLValidationAnnotation"
"__init__","superset/commands/database/update.py",49,49,"Class UpdateDatabaseCommand"
"__init__","superset/commands/importers/v1/examples.py",116,116,"Class ImportExamplesCommand"
"__init__","tests/unit_tests/db_engine_specs/test_datastore.py",690,690,"Class Row"
"__init__","superset/commands/sql_lab/permalink/create.py",38,38,"Class CreateSqlLabPermalinkCommand"
"__init__","superset/mcp_service/utils/schema_utils.py",42,42,"Class JSONParseError"
"__init__","superset/commands/dashboard/unfave.py",32,32,"Class DelFavoriteDashboardCommand"
"__init__","superset/sqllab/sqllab_execution_context.py",64,64,"Class SqlJsonExecutionContext"
"__init__","superset/sqllab/sqllab_execution_context.py",198,200,"Class CreateTableAsSelect"
"__init__","superset/commands/database/validate_sql.py",49,49,"Class ValidateSQLCommand"
"__init__","superset/commands/importers/v1/__init__.py",54,54,"Class ImportModelsCommand"
"__init__","superset/commands/report/delete.py",37,37,"Class DeleteReportScheduleCommand"
"__init__","superset/commands/temporary_cache/get.py",31,31,"Class GetTemporaryCacheCommand"
"__init__","superset/commands/report/exceptions.py",38,38,"Class DatabaseNotFoundValidationError"
"__init__","superset/commands/report/exceptions.py",47,47,"Class ReportScheduleDatabaseNotAllowedValidationError"
"__init__","superset/commands/report/exceptions.py",59,59,"Class DashboardNotFoundValidationError"
"__init__","superset/commands/report/exceptions.py",68,68,"Class ChartNotFoundValidationError"
"__init__","superset/commands/report/exceptions.py",77,77,"Class ReportScheduleAlertRequiredDatabaseValidationError"
"__init__","superset/commands/report/exceptions.py",86,86,"Class ReportScheduleRequiredTypeValidationError"
"__init__","superset/commands/report/exceptions.py",95,95,"Class ReportScheduleOnlyChartOrDashboardError"
"__init__","superset/commands/report/exceptions.py",104,104,"Class ReportScheduleEitherChartOrDashboardError"
"__init__","superset/commands/report/exceptions.py",116,120,"Class ReportScheduleFrequencyNotAllowed"
"__init__","superset/commands/report/exceptions.py",140,140,"Class ChartNotSavedValidationError"
"__init__","superset/commands/report/exceptions.py",152,152,"Class DashboardNotSavedValidationError"
