"name","file","start_line","end_line","param_name","param_type"
"__call__","superset/tasks/decorators.py",256,256,"args","Attribute"
"__call__","superset/tasks/decorators.py",256,256,"kwargs","Attribute"
"__call__","superset/extensions/contributions.py",37,37,"manifest","Manifest"
"__call__","superset-core/src/superset_core/tasks/decorators.py",112,112,"args","Attribute"
"__call__","superset-core/src/superset_core/tasks/decorators.py",112,112,"kwargs","Attribute"
"__call__","superset/sql/parse.py",199,199,"node","Attribute"
"__call__","superset/sql/parse.py",255,255,"node","Attribute"
"__call__","superset/utils/profiler.py",46,46,"request","Request"
"__call__","superset/utils/schema.py",30,30,"value","Any"
"__call__","superset/jinja_context.py",593,598,"values","Subscript"
"__call__","superset/jinja_context.py",593,598,"mark","BinaryExpr"
"__call__","superset/jinja_context.py",593,598,"default_to_none","bool"
"__call__","superset/app.py",216,218,"environ","WSGIEnvironment"
"__call__","superset/app.py",216,218,"start_response","StartResponse"
"__call__","superset/utils/cache_manager.py",58,58,"data","bytes"
"__call__","superset/initialization/__init__.py",140,140,"args","Any"
"__call__","superset/initialization/__init__.py",140,140,"kwargs","Any"
"__call__","superset/initialization/__init__.py",872,874,"environ","Subscript"
"__call__","superset/initialization/__init__.py",872,874,"start_response","Subscript"
"__call__","superset/utils/log.py",116,123,"action","str"
"__call__","superset/utils/log.py",116,123,"duration","BinaryExpr"
"__call__","superset/utils/log.py",116,123,"log_to_statsd","bool"
"__call__","superset/utils/log.py",116,123,"object_ref","BinaryExpr"
"__call__","superset/utils/log.py",116,123,"payload_override","Subscript"
"__eq__","superset/connectors/sqla/models.py",710,710,"other","object"
"__eq__","RELEASING/changelog.py",51,51,"other","object"
"__eq__","superset/sql/parse.py",307,307,"other","Any"
"__eq__","superset/migrations/shared/security_converge.py",65,65,"other","object"
"__eq__","superset/utils/core.py",1915,1915,"other","object"
"__init__","superset/connectors/sqla/models.py",893,893,"kwargs","Any"
"__init__","superset/sqllab/sql_json_executer.py",65,65,"query_dao","QueryDAO"
"__init__","superset/sqllab/sql_json_executer.py",65,65,"get_sql_results_task","GetSqlResultsTask"
"__init__","superset/sqllab/sql_json_executer.py",74,80,"query_dao","QueryDAO"
"__init__","superset/sqllab/sql_json_executer.py",74,80,"get_sql_results_task","GetSqlResultsTask"
"__init__","superset/sqllab/sql_json_executer.py",74,80,"timeout_duration_in_seconds","int"
"__init__","superset/sqllab/sql_json_executer.py",74,80,"sqllab_backend_persistence_feature_enable","bool"
"__init__","superset/commands/chart/delete.py",41,41,"model_ids","Subscript"
"__init__","superset/commands/chart/fave.py",33,33,"chart_id","int"
"__init__","superset/extensions/metadb.py",97,97,"kwargs","Any"
